player1_name,player2_name,set_index,player1_game_score,player2_game_score,server,points,break_point,tournament,round,date,surface,result
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,0,0,Peter Gojowczyk ,0-0,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,0,0,Peter Gojowczyk , 0-15,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,0,0,Peter Gojowczyk , 15-15,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,0,0,Peter Gojowczyk , 15-30,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,0,0,Peter Gojowczyk , 30-30,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,0,0,Peter Gojowczyk , 40-30,BP, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,1,0,Bernabe Zapata Miralles ,0-0,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,1,0,Bernabe Zapata Miralles , 15-0,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,1,0,Bernabe Zapata Miralles , 30-0,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,1,0,Bernabe Zapata Miralles , 40-0,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,2,0,Peter Gojowczyk ,0-0,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,2,0,Peter Gojowczyk , 15-0,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,2,0,Peter Gojowczyk , 30-0,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,2,0,Peter Gojowczyk , 40-0,BP, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,3,0,Bernabe Zapata Miralles ,0-0,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,3,0,Bernabe Zapata Miralles , 0-15,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,3,0,Bernabe Zapata Miralles , 0-30,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,3,0,Bernabe Zapata Miralles , 15-40,BP, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,3,0,Bernabe Zapata Miralles , 30-40,BP, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,3,0,Bernabe Zapata Miralles , 40-40,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,3,0,Bernabe Zapata Miralles , 40-A,BP, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,3,0,Bernabe Zapata Miralles , 40-40,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,3,0,Bernabe Zapata Miralles , 40-A,BP, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,3,0,Bernabe Zapata Miralles , 40-40,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,3,0,Bernabe Zapata Miralles , A-40,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,4,0,Peter Gojowczyk ,0-0,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,4,0,Peter Gojowczyk , 0-15,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,4,0,Peter Gojowczyk , 15-15,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,4,0,Peter Gojowczyk , 30-15,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
Bernabe Zapata Miralles ,Peter Gojowczyk ,1,4,0,Peter Gojowczyk , 30-30,, Quimper 2 ,1/2,06.02.21 18:30,I. hard,"6-2, 6-1  "
