player1_name,player2_name,set_index,player1_game_score,player2_game_score,server,points,break_point,tournament,round,date,surface,result
Ruben Bemelmans/Daniel Masur ,Brandon Nakashima/Hunter Reese ,1,2,0,Brandon Nakashima/Hunter Reese ,0-0,, Quimper 2 ,fin,06.02.21 20:00,I. hard,"6-2, 6-1  "
Ruben Bemelmans/Daniel Masur ,Brandon Nakashima/Hunter Reese ,1,2,0,Brandon Nakashima/Hunter Reese , 15-0,, Quimper 2 ,fin,06.02.21 20:00,I. hard,"6-2, 6-1  "
Ruben Bemelmans/Daniel Masur ,Brandon Nakashima/Hunter Reese ,1,2,0,Brandon Nakashima/Hunter Reese , 15-15,, Quimper 2 ,fin,06.02.21 20:00,I. hard,"6-2, 6-1  "
Ruben Bemelmans/Daniel Masur ,Brandon Nakashima/Hunter Reese ,1,2,0,Brandon Nakashima/Hunter Reese , 15-30,, Quimper 2 ,fin,06.02.21 20:00,I. hard,"6-2, 6-1  "
Ruben Bemelmans/Daniel Masur ,Brandon Nakashima/Hunter Reese ,1,2,0,Brandon Nakashima/Hunter Reese , 30-30,, Quimper 2 ,fin,06.02.21 20:00,I. hard,"6-2, 6-1  "
Ruben Bemelmans/Daniel Masur ,Brandon Nakashima/Hunter Reese ,1,2,0,Brandon Nakashima/Hunter Reese , 40-30,BP, Quimper 2 ,fin,06.02.21 20:00,I. hard,"6-2, 6-1  "
Ruben Bemelmans/Daniel Masur ,Brandon Nakashima/Hunter Reese ,1,3,0,Ruben Bemelmans/Daniel Masur ,0-0,, Quimper 2 ,fin,06.02.21 20:00,I. hard,"6-2, 6-1  "
Ruben Bemelmans/Daniel Masur ,Brandon Nakashima/Hunter Reese ,1,3,0,Ruben Bemelmans/Daniel Masur , 15-0,, Quimper 2 ,fin,06.02.21 20:00,I. hard,"6-2, 6-1  "
Ruben Bemelmans/Daniel Masur ,Brandon Nakashima/Hunter Reese ,1,3,0,Ruben Bemelmans/Daniel Masur , 15-30,, Quimper 2 ,fin,06.02.21 20:00,I. hard,"6-2, 6-1  "
Ruben Bemelmans/Daniel Masur ,Brandon Nakashima/Hunter Reese ,1,3,0,Ruben Bemelmans/Daniel Masur , 30-30,, Quimper 2 ,fin,06.02.21 20:00,I. hard,"6-2, 6-1  "
